time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,31440,454,805
2026-01-31 17:18:29 +0000,08a7853,arduino-avr-mega,31294,452,801
2026-02-01 20:38:35 +0000,10e0eb2,arduino-avr-mega,31504,534,801
2026-02-12 18:44:18 +0000,116d975,arduino-avr-mega,31630,534,801
2026-02-01 10:24:12 +0000,1c5b02e,arduino-avr-mega,31512,534,801
2026-02-15 13:09:36 +0000,1d68c76,arduino-avr-mega,31630,534,801
2026-02-17 14:52:42 +0000,2c48700,arduino-avr-mega,31630,534,801
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,57925,136,7740
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,37974,604,817
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,29906,94,930
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,41768,164,3420
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,45372,156,3540
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,930448,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,49856,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,56192,656,4532
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,31440,454,805
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,138900,12584,119528
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,107072,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,118224,0,39972
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,31380,104,1049
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,64532,252,14096
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,39476,0,3316
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,41100,176,3700
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,223377,107300,6137
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,289471,1552,26672
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,338048,12032,7528
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,40140,1272,1760
2026-01-30 19:49:36 +0000,30d20ae,teensy-avr-teensy41,38208,11968,14688
2026-02-07 18:26:43 +0000,35e9c39,arduino-avr-mega,31630,534,801
2026-02-08 17:00:23 +0000,4eb6443,arduino-avr-mega,31630,534,801
2026-02-01 07:58:02 +0000,4eecf22,arduino-avr-mega,31510,534,801
2026-02-03 15:49:00 +0000,4f3d2ab,arduino-avr-mega,31516,534,801
2026-02-13 13:52:41 +0000,5b901a3,arduino-avr-mega,31630,534,801
2026-02-19 17:56:40 +0000,5bb0c62,CubeCell-CubeCell-CubeCell-Board,57317,136,7732
2026-02-19 17:56:40 +0000,5bb0c62,MegaCore-avr-1281,37364,680,813
2026-02-19 17:56:40 +0000,5bb0c62,MegaCoreX-megaavr-4809,30312,94,926
2026-02-19 17:56:40 +0000,5bb0c62,STMicroelectronics-stm32-GenF3,41312,164,3420
2026-02-19 17:56:40 +0000,5bb0c62,STMicroelectronics-stm32-Nucleo_64,44916,156,3532
2026-02-19 17:56:40 +0000,5bb0c62,SiliconLabs-silabs-xg24explorerkit,929912,3924,257780
2026-02-19 17:56:40 +0000,5bb0c62,adafruit-nrf52-feather52832,49224,532,49132
2026-02-19 17:56:40 +0000,5bb0c62,adafruit-samd-adafruit_feather_m0,55616,656,4540
2026-02-19 16:16:56 +0000,5bb0c62,arduino-avr-mega,31786,534,801
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed-envie_m4,138456,12584,119528
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed-nano33ble,106568,3624,258520
2026-02-19 17:56:40 +0000,5bb0c62,arduino-mbed_rp2040-pico,117604,0,39964
2026-02-19 17:56:40 +0000,5bb0c62,arduino-megaavr-uno2018,31798,104,1045
2026-02-19 17:56:40 +0000,5bb0c62,arduino-renesas_uno-minima,64076,252,14092
2026-02-19 17:56:40 +0000,5bb0c62,arduino-sam-arduino_due_x,39100,0,3312
2026-02-19 17:56:40 +0000,5bb0c62,arduino-samd-arduino_zero_native,40500,176,3700
2026-02-19 17:56:40 +0000,5bb0c62,esp32-esp32-esp32,222841,107480,6129
2026-02-19 17:56:40 +0000,5bb0c62,esp8266-esp8266-generic,288859,1552,26664
2026-02-19 17:56:40 +0000,5bb0c62,rp2040-rp2040-rpipico,337532,12032,7524
2026-02-19 17:56:40 +0000,5bb0c62,stm32duino-STM32F1-mapleMini,39764,1272,1760
2026-02-19 17:56:40 +0000,5bb0c62,teensy-avr-teensy41,38208,11968,14688
2026-02-06 19:38:53 +0000,74812e5,arduino-avr-mega,31630,534,801
2026-01-31 17:14:18 +0000,7954251,arduino-avr-mega,31296,452,801
2026-02-08 14:55:34 +0000,7ca6b33,arduino-avr-mega,31630,534,801
2026-02-08 17:03:51 +0000,87bf578,arduino-avr-mega,31630,534,801
2026-01-31 20:23:29 +0000,925f516,arduino-avr-mega,31538,534,801
2026-01-31 18:22:01 +0000,95516cb,arduino-avr-mega,31506,534,801
2026-02-01 10:17:49 +0000,97263cd,arduino-avr-mega,31512,534,801
2026-02-18 16:16:09 +0000,a50accb,arduino-avr-mega,31630,534,801
2026-02-01 12:40:08 +0000,a73d926,arduino-avr-mega,31512,534,801
2026-02-18 23:05:46 +0000,ac70f5f,arduino-avr-mega,31664,534,801
2026-02-01 20:32:03 +0000,aedddcd,arduino-avr-mega,31508,534,801
2026-01-31 13:01:21 +0000,b4d5ac9,arduino-avr-mega,31430,452,805
2026-02-19 07:59:56 +0000,b97f856,arduino-avr-mega,31664,534,801
2026-02-01 08:05:58 +0000,bcde610,arduino-avr-mega,31512,534,801
2026-02-17 14:58:16 +0000,c1ff483,arduino-avr-mega,31630,534,801
2026-02-18 18:13:51 +0000,c8b9e7e,arduino-avr-mega,31664,534,801
2026-02-18 17:05:00 +0000,ce30134,arduino-avr-mega,31630,534,801
2026-02-05 06:29:49 +0000,ce81630,arduino-avr-mega,31516,534,801
2026-01-31 16:37:08 +0000,d2dcd6d,arduino-avr-mega,31430,452,805
2026-02-05 16:52:28 +0000,d3eabae,arduino-avr-mega,31516,534,801
2026-02-05 18:02:49 +0000,e13aa3f,arduino-avr-mega,31630,534,801
2026-02-01 13:58:10 +0000,f1de01d,arduino-avr-mega,31512,534,801
