time,commit,platform,text,data,bss
2026-01-30 17:58:30 +0000,013b0a1,arduino-avr-mega,30488,462,810
2026-01-30 19:49:36 +0000,30d20ae,CubeCell-CubeCell-CubeCell-Board,57365,136,7748
2026-01-30 19:49:36 +0000,30d20ae,MegaCore-avr-1281,37034,610,822
2026-01-30 19:49:36 +0000,30d20ae,MegaCoreX-megaavr-4809,28959,94,935
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-GenF3,41192,164,3436
2026-01-30 19:49:36 +0000,30d20ae,STMicroelectronics-stm32-Nucleo_64,44804,156,3548
2026-01-30 19:49:36 +0000,30d20ae,SiliconLabs-silabs-xg24explorerkit,929936,3924,257780
2026-01-30 19:49:36 +0000,30d20ae,adafruit-nrf52-feather52832,49680,532,49132
2026-01-30 19:49:36 +0000,30d20ae,adafruit-samd-adafruit_feather_m0,55624,656,4532
2026-01-30 18:25:26 +0000,30d20ae,arduino-avr-mega,30488,462,810
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-envie_m4,138352,12584,119544
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed-nano33ble,106504,3624,258520
2026-01-30 19:49:36 +0000,30d20ae,arduino-mbed_rp2040-pico,117683,0,39980
2026-01-30 19:49:36 +0000,30d20ae,arduino-megaavr-uno2018,30565,104,1054
2026-01-30 19:49:36 +0000,30d20ae,arduino-renesas_uno-minima,63996,252,14108
2026-01-30 19:49:36 +0000,30d20ae,arduino-sam-arduino_due_x,38908,0,3328
2026-01-30 19:49:36 +0000,30d20ae,arduino-samd-arduino_zero_native,40556,176,3716
2026-01-30 19:49:36 +0000,30d20ae,esp32-esp32-esp32,222733,107004,6145
2026-01-30 19:49:36 +0000,30d20ae,esp8266-esp8266-generic,288983,1552,26680
2026-01-30 19:49:36 +0000,30d20ae,rp2040-rp2040-rpipico,337656,12032,7536
2026-01-30 19:49:36 +0000,30d20ae,stm32duino-STM32F1-mapleMini,39564,1272,1776
2026-01-30 19:49:36 +0000,30d20ae,teensy-avr-teensy41,39232,11968,14688
2026-01-31 13:01:21 +0000,b4d5ac9,arduino-avr-mega,30478,460,810
2026-01-31 16:37:08 +0000,d2dcd6d,arduino-avr-mega,30478,460,810
