time,commit,platform,text,data,bss
2025-01-04 10:32:09 +0000,01e7fa0,arduino-avr-mega,29576,600,790
2025-01-05 17:01:16 +0000,06f4169,arduino-avr-mega,29576,600,790
2025-01-04 15:14:52 +0000,283bfb4,arduino-avr-mega,29576,600,790
2025-01-03 18:25:35 +0000,2a214f8,arduino-avr-mega,29576,600,790
2025-01-04 22:36:25 +0000,33b6534,arduino-avr-mega,29576,600,790
2025-01-05 19:01:43 +0000,49f21cc,CubeCell-CubeCell-CubeCell-Board,58733,136,7724
2025-01-05 19:01:43 +0000,49f21cc,MegaCore-avr-1281,36186,760,802
2025-01-05 19:01:43 +0000,49f21cc,MegaCoreX-megaavr-4809,28423,100,915
2025-01-05 19:01:43 +0000,49f21cc,SiliconLabs-silabs-xg24explorerkit,870064,12,178540
2025-01-05 19:01:43 +0000,49f21cc,adafruit-nrf52-feather52832,54492,536,49128
2025-01-05 19:01:43 +0000,49f21cc,adafruit-samd-adafruit_feather_m0,56160,656,4516
2025-01-05 17:43:45 +0000,49f21cc,arduino-avr-mega,29576,600,790
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-envie_m4,139276,12584,119520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed-nano33ble,107448,3624,258520
2025-01-05 19:01:43 +0000,49f21cc,arduino-mbed_rp2040-pico,117877,0,39964
2025-01-05 19:01:43 +0000,49f21cc,arduino-megaavr-uno2018,29665,110,1034
2025-01-05 19:01:43 +0000,49f21cc,arduino-renesas_uno-minima,64612,252,14084
2025-01-05 19:01:43 +0000,49f21cc,arduino-sam-arduino_due_x,40316,0,3304
2025-01-05 19:01:43 +0000,49f21cc,arduino-samd-arduino_zero_native,43568,176,3692
2025-01-05 19:01:43 +0000,49f21cc,esp32-esp32-esp32,223825,101292,6121
2025-01-05 19:01:43 +0000,49f21cc,esp8266-esp8266-generic,290035,1552,26648
2025-01-05 19:01:43 +0000,49f21cc,rp2040-rp2040-rpipico,337952,12032,8140
2025-01-05 19:01:43 +0000,49f21cc,stm32duino-STM32F1-mapleMini,41116,1272,1752
2025-01-05 19:01:43 +0000,49f21cc,teensy-avr-teensy41,38208,11968,14688
2025-01-05 14:43:42 +0000,5239952,arduino-avr-mega,29576,600,790
2025-01-04 14:16:31 +0000,5952106,arduino-avr-mega,29576,600,790
2025-01-05 14:37:13 +0000,66e276b,arduino-avr-mega,29576,600,790
2025-01-03 18:20:44 +0000,680e88c,arduino-avr-mega,29576,600,790
2025-01-03 18:36:28 +0000,7141d26,arduino-avr-mega,29576,600,790
2025-01-04 15:29:55 +0000,a3782b4,arduino-avr-mega,29576,600,790
2025-01-05 09:10:39 +0000,a63ca70,arduino-avr-mega,29576,600,790
2025-01-01 13:23:19 +0000,bd4ede2,arduino-avr-mega,29576,600,790
2025-01-05 16:32:17 +0000,cbb8d41,arduino-avr-mega,29576,600,790
2025-01-05 20:49:24 +0000,d26b1ff,CubeCell-CubeCell-CubeCell-Board,58733,136,7724
2025-01-05 20:49:24 +0000,d26b1ff,MegaCore-avr-1281,36186,760,802
2025-01-05 20:49:24 +0000,d26b1ff,MegaCoreX-megaavr-4809,28423,100,915
2025-01-05 20:49:24 +0000,d26b1ff,SiliconLabs-silabs-xg24explorerkit,870064,12,178540
2025-01-05 20:49:24 +0000,d26b1ff,adafruit-nrf52-feather52832,54492,536,49128
2025-01-05 20:49:24 +0000,d26b1ff,adafruit-samd-adafruit_feather_m0,56160,656,4516
2025-01-05 20:49:24 +0000,d26b1ff,arduino-avr-mega,29576,600,790
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-envie_m4,139276,12584,119520
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed-nano33ble,107448,3624,258520
2025-01-05 20:49:24 +0000,d26b1ff,arduino-mbed_rp2040-pico,117877,0,39964
2025-01-05 20:49:24 +0000,d26b1ff,arduino-megaavr-uno2018,29665,110,1034
2025-01-05 20:49:24 +0000,d26b1ff,arduino-renesas_uno-minima,64612,252,14084
2025-01-05 20:49:24 +0000,d26b1ff,arduino-sam-arduino_due_x,40316,0,3304
2025-01-05 20:49:24 +0000,d26b1ff,arduino-samd-arduino_zero_native,43568,176,3692
2025-01-05 20:49:24 +0000,d26b1ff,esp32-esp32-esp32,223825,101292,6121
2025-01-05 20:49:24 +0000,d26b1ff,esp8266-esp8266-generic,290035,1552,26648
2025-01-05 20:49:24 +0000,d26b1ff,rp2040-rp2040-rpipico,337952,12032,8140
2025-01-05 20:49:24 +0000,d26b1ff,stm32duino-STM32F1-mapleMini,41116,1272,1752
2025-01-05 20:49:24 +0000,d26b1ff,teensy-avr-teensy41,38208,11968,14688
